                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     91,                    nan,                    nan,                    nan,                0.66784,                  0.616,                0.62064,                0.44894,                    nan,                    nan,                    nan,             0.00010808,             0.00010808,             0.00010808
                     92,                    nan,                    nan,                    nan,                0.66784,                  0.616,                0.62064,                0.44894,                    nan,                    nan,                    nan,             9.9081e-05,             9.9081e-05,             9.9081e-05
                     93,                    nan,                    nan,                    nan,                0.66784,                  0.616,                0.62064,                0.44894,                    nan,                    nan,                    nan,             9.0082e-05,             9.0082e-05,             9.0082e-05
                     94,                    nan,                    nan,                    nan,                0.66784,                  0.616,                0.62064,                0.44894,                    nan,                    nan,                    nan,             8.1083e-05,             8.1083e-05,             8.1083e-05
                     95,                    nan,                    nan,                    nan,                0.66784,                  0.616,                0.62064,                0.44894,                    nan,                    nan,                    nan,             7.2084e-05,             7.2084e-05,             7.2084e-05
                     96,                    nan,                    nan,                    nan,                0.66784,                  0.616,                0.62064,                0.44894,                    nan,                    nan,                    nan,             6.3085e-05,             6.3085e-05,             6.3085e-05
                     97,                    nan,                    nan,                    nan,                0.66784,                  0.616,                0.62064,                0.44894,                    nan,                    nan,                    nan,             5.4086e-05,             5.4086e-05,             5.4086e-05
                     98,                    nan,                    nan,                    nan,                0.66784,                  0.616,                0.62064,                0.44894,                    nan,                    nan,                    nan,             4.5086e-05,             4.5086e-05,             4.5086e-05
                     99,                    nan,                    nan,                    nan,                0.66784,                  0.616,                0.62064,                0.44894,                    nan,                    nan,                    nan,             3.6087e-05,             3.6087e-05,             3.6087e-05
                    100,                    nan,                    nan,                    nan,                0.66784,                  0.616,                0.62064,                0.44894,                    nan,                    nan,                    nan,             2.7088e-05,             2.7088e-05,             2.7088e-05
