                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     56,                0.59307,                0.49885,                0.97295,                0.69764,                0.67566,                 0.7014,                0.51596,                0.97625,                 1.1278,                 1.2836,             0.00042305,             0.00042305,             0.00042305
                     57,                0.59307,                0.50419,                0.97066,                 0.6815,                0.69285,                0.70337,                0.52038,                0.96082,                 1.0954,                 1.2473,             0.00041405,             0.00041405,             0.00041405
                     58,                 0.5863,                0.48107,                0.96915,                0.69205,                0.65505,                0.69472,                0.50417,                 1.0051,                 1.1487,                 1.3094,             0.00040505,             0.00040505,             0.00040505
                     59,                0.58313,                0.47549,                0.96548,                 0.6387,                0.69043,                0.68588,                0.50891,                0.97397,                  1.146,                 1.2668,             0.00039605,             0.00039605,             0.00039605
                     60,                0.57461,                0.48023,                0.96436,                0.71768,                0.68411,                0.71228,                0.52027,                0.99469,                 1.0871,                 1.2982,             0.00038705,             0.00038705,             0.00038705
                     61,                0.56781,                0.45851,                0.95292,                 0.6734,                0.69378,                0.70504,                0.51682,                0.97431,                 1.1174,                 1.2885,             0.00037805,             0.00037805,             0.00037805
                     62,                0.56923,                 0.4836,                  0.965,                0.66145,                0.68038,                0.68958,                0.50547,                 0.9863,                   1.13,                 1.2921,             0.00036905,             0.00036905,             0.00036905
                     63,                0.54783,                0.44611,                0.95018,                0.69986,                0.66687,                0.68997,                0.50625,                0.98956,                 1.1387,                  1.299,             0.00036005,             0.00036005,             0.00036005
                     64,                 0.5562,                0.44894,                0.95258,                0.68548,                0.67658,                0.70516,                0.52854,                0.96104,                 1.0741,                 1.2644,             0.00035106,             0.00035106,             0.00035106
                     65,                0.55066,                0.44503,                0.94691,                0.69897,                0.67629,                 0.7026,                 0.5241,                0.96781,                  1.108,                 1.2813,             0.00034206,             0.00034206,             0.00034206
                     66,                0.54247,                0.44861,                0.94961,                0.69709,                0.66965,                0.68636,                0.50843,                0.97226,                  1.126,                 1.2756,             0.00033306,             0.00033306,             0.00033306
                     67,                0.53273,                0.43765,                 0.9491,                 0.7014,                0.65274,                 0.6985,                0.51756,                0.97826,                 1.1434,                 1.2947,             0.00032406,             0.00032406,             0.00032406
                     68,                0.52834,                0.42265,                0.93755,                0.71443,                0.66064,                0.68783,                0.50538,                0.98837,                 1.1059,                  1.296,             0.00031506,             0.00031506,             0.00031506
                     69,                 0.5233,                0.42658,                0.93757,                0.70274,                0.66618,                0.69787,                0.51912,                0.99196,                 1.0992,                  1.323,             0.00030606,             0.00030606,             0.00030606
                     70,                0.52572,                0.41012,                0.93304,                0.70633,                0.68563,                0.70504,                0.52813,                0.96886,                 1.0673,                 1.2936,             0.00029706,             0.00029706,             0.00029706
                     71,                0.51331,                0.39872,                0.92636,                0.69463,                0.64402,                0.67705,                0.49995,                 1.0035,                 1.1654,                 1.3243,             0.00028806,             0.00028806,             0.00028806
