                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                0.54666,                0.43472,                0.94888,                0.69997,                0.62727,                0.69024,                0.52333,                0.94459,                  1.143,                 1.2639,             0.00035106,             0.00035106,             0.00035106
                     65,                0.53874,                0.43008,                0.94632,                0.68219,                 0.6556,                0.68667,                0.51237,                0.97227,                 1.1282,                 1.2836,             0.00034206,             0.00034206,             0.00034206
                     66,                0.53667,                0.43329,                0.94473,                0.63757,                0.69697,                0.69463,                0.51882,                0.97482,                 1.1158,                  1.301,             0.00033306,             0.00033306,             0.00033306
                     67,                0.54107,                0.43567,                0.94227,                0.66838,                0.67403,                0.70089,                 0.5284,                 0.9757,                 1.1039,                 1.2829,             0.00032406,             0.00032406,             0.00032406
                     68,                0.52237,                0.41281,                0.93517,                0.65802,                 0.6697,                0.69337,                0.52925,                 0.9489,                  1.144,                 1.2656,             0.00031506,             0.00031506,             0.00031506
                     69,                 0.5097,                0.41247,                0.92948,                0.67558,                0.64207,                 0.6895,                 0.5178,                 0.9549,                 1.1479,                 1.2836,             0.00030606,             0.00030606,             0.00030606
                     70,                0.50435,                0.40352,                 0.9245,                0.65989,                 0.6905,                0.68969,                0.52168,                0.95686,                 1.1326,                 1.2856,             0.00029706,             0.00029706,             0.00029706
                     71,                0.50671,                0.40577,                0.92921,                0.64023,                0.68065,                0.68741,                0.52409,                0.96972,                 1.1379,                 1.2932,             0.00028806,             0.00028806,             0.00028806
                     72,                0.49608,                0.38954,                0.91904,                0.67105,                0.67925,                 0.7068,                0.53526,                0.96904,                    1.1,                 1.2922,             0.00027906,             0.00027906,             0.00027906
                     73,                0.49429,                0.38792,                0.91704,                0.67213,                0.66636,                0.69713,                0.52359,                0.95571,                 1.1051,                 1.2829,             0.00027006,             0.00027006,             0.00027006
                     74,                0.49829,                0.38995,                0.92221,                0.72085,                0.66837,                0.71731,                0.54809,                  0.963,                 1.0894,                 1.2929,             0.00026106,             0.00026106,             0.00026106
                     75,                0.48977,                0.37671,                0.92133,                0.69124,                0.67774,                0.71381,                0.53958,                0.95951,                 1.0879,                 1.2914,             0.00025207,             0.00025207,             0.00025207
                     76,                0.49119,                0.38064,                0.91786,                0.69411,                0.65881,                0.70934,                0.53269,                0.95083,                 1.1682,                 1.2906,             0.00024307,             0.00024307,             0.00024307
                     77,                0.47841,                 0.3664,                 0.9197,                 0.6818,                0.67076,                0.70997,                0.53825,                0.96522,                 1.1297,                 1.3168,             0.00023407,             0.00023407,             0.00023407
                     78,                0.47534,                0.35886,                0.91084,                0.63785,                0.68903,                0.69572,                0.52437,                0.96292,                 1.1395,                 1.3061,             0.00022507,             0.00022507,             0.00022507
                     79,                0.48107,                0.36123,                0.91868,                0.66602,                0.67332,                0.70099,                0.52448,                0.98088,                 1.1399,                 1.3185,             0.00021607,             0.00021607,             0.00021607
                     80,                 0.4703,                0.35112,                0.91175,                0.67518,                0.65791,                0.70185,                0.53157,                0.94792,                  1.141,                 1.2965,             0.00020707,             0.00020707,             0.00020707
                     81,                0.46834,                0.35452,                0.91624,                0.63886,                0.69815,                0.69592,                0.52914,                0.94759,                 1.1324,                  1.282,             0.00019807,             0.00019807,             0.00019807
                     82,                0.46382,                0.34954,                0.90908,                0.63896,                0.71164,                0.69153,                0.52523,                0.95399,                 1.1346,                 1.3041,             0.00018907,             0.00018907,             0.00018907
                     83,                0.45378,                0.33869,                0.89398,                 0.6864,                0.64337,                0.69228,                 0.5285,                0.94356,                 1.1402,                 1.2762,             0.00018007,             0.00018007,             0.00018007
                     84,                0.45346,                 0.3427,                0.90291,                0.71248,                0.64664,                0.69684,                0.52984,                0.95938,                 1.1207,                 1.2981,             0.00017107,             0.00017107,             0.00017107
                     85,                0.45574,                0.33613,                 0.9049,                0.69515,                0.64913,                0.69401,                0.53002,                  0.947,                 1.1623,                 1.2914,             0.00016207,             0.00016207,             0.00016207
                     86,                0.44908,                0.33106,                0.89842,                0.63393,                0.70987,                0.69427,                0.53047,                0.96535,                 1.1529,                 1.3044,             0.00015308,             0.00015308,             0.00015308
                     87,                0.44397,                0.32567,                0.89828,                0.71594,                 0.6328,                0.69136,                 0.5286,                0.94488,                 1.1565,                 1.2959,             0.00014408,             0.00014408,             0.00014408
                     88,                0.44139,                0.32245,                0.90264,                0.67375,                0.68029,                0.69164,                0.52926,                0.94647,                 1.1728,                 1.2993,             0.00013508,             0.00013508,             0.00013508
                     89,                0.43624,                0.32089,                0.89085,                0.65531,                0.68118,                0.69035,                0.52861,                0.96594,                 1.1906,                  1.309,             0.00012608,             0.00012608,             0.00012608
                     90,                0.43642,                0.32537,                0.90324,                0.70454,                0.65135,                0.69551,                0.53266,                0.95166,                 1.1338,                 1.2858,             0.00011708,             0.00011708,             0.00011708
                     91,                0.36617,                0.24952,                0.84156,                0.68674,                0.67328,                 0.6853,                0.52445,                0.94765,                 1.1649,                 1.3283,             0.00010808,             0.00010808,             0.00010808
                     92,                0.34737,                0.23525,                0.83873,                 0.6811,                0.68494,                0.69393,                0.53729,                0.90147,                 1.1362,                 1.2733,             9.9081e-05,             9.9081e-05,             9.9081e-05
                     93,                 0.3489,                0.22845,                0.83407,                0.68623,                0.66834,                0.70287,                0.54526,                0.91371,                  1.137,                 1.2847,             9.0082e-05,             9.0082e-05,             9.0082e-05
                     94,                0.34069,                0.22337,                0.83126,                0.67534,                0.67579,                0.69432,                0.53996,                0.91725,                  1.183,                 1.2814,             8.1083e-05,             8.1083e-05,             8.1083e-05
                     95,                0.34133,                0.22497,                0.83171,                 0.7036,                0.66319,                0.70288,                0.54564,                0.92185,                 1.1615,                 1.2871,             7.2084e-05,             7.2084e-05,             7.2084e-05
                     96,                0.33003,                0.21783,                0.82731,                 0.6642,                0.68885,                0.69926,                0.54429,                0.92813,                 1.1964,                 1.2982,             6.3085e-05,             6.3085e-05,             6.3085e-05
                     97,                0.33268,                0.21589,                0.82898,                0.70328,                0.65837,                0.69707,                0.54163,                 0.9196,                 1.1814,                 1.2891,             5.4086e-05,             5.4086e-05,             5.4086e-05
                     98,                0.32991,                0.21531,                0.82246,                0.70047,                0.65197,                0.69803,                0.54322,                0.91499,                 1.2042,                  1.284,             4.5086e-05,             4.5086e-05,             4.5086e-05
                     99,                0.32258,                0.20686,                0.82181,                0.70913,                0.65666,                0.69929,                0.54284,                0.91469,                  1.179,                 1.2862,             3.6087e-05,             3.6087e-05,             3.6087e-05
                    100,                 0.3222,                0.20593,                0.82441,                0.71349,                0.65074,                0.69537,                0.53885,                0.91845,                 1.1779,                 1.2903,             2.7088e-05,             2.7088e-05,             2.7088e-05
