                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                0.64392,                0.53331,                0.95947,                0.69449,                0.67719,                0.70311,                0.52211,                0.96555,                 1.0689,                 1.1695,             0.00049504,             0.00049504,             0.00049504
                     49,                0.64445,                0.53399,                0.95968,                 0.6759,                0.68313,                0.71425,                0.54545,                0.93567,                  1.057,                 1.1591,             0.00048604,             0.00048604,             0.00048604
                     50,                0.63205,                0.52595,                0.96073,                 0.6824,                0.66786,                0.70463,                0.53048,                0.95243,                  1.084,                  1.163,             0.00047704,             0.00047704,             0.00047704
                     51,                0.63981,                0.52345,                0.96021,                0.66973,                0.69629,                0.69792,                0.51917,                0.97185,                 1.0803,                  1.166,             0.00046804,             0.00046804,             0.00046804
                     52,                0.64386,                0.51685,                0.95679,                0.64718,                0.70647,                0.70118,                0.52137,                0.95081,                  1.087,                 1.1545,             0.00045904,             0.00045904,             0.00045904
                     53,                0.60328,                0.49605,                0.94298,                 0.6921,                0.65061,                0.68796,                0.52206,                0.94952,                 1.0801,                 1.1776,             0.00045005,             0.00045005,             0.00045005
                     54,                0.62491,                0.50519,                0.95383,                0.66254,                0.68804,                0.70569,                0.52562,                0.97191,                 1.0618,                 1.1828,             0.00044105,             0.00044105,             0.00044105
                     55,                0.61397,                0.48711,                0.94421,                0.68878,                0.66817,                0.70871,                0.54172,                0.93092,                  1.071,                 1.1457,             0.00043205,             0.00043205,             0.00043205
                     56,                0.61232,                0.48607,                0.94207,                0.63765,                0.70366,                0.68479,                0.51285,                0.96006,                 1.0953,                 1.1795,             0.00042305,             0.00042305,             0.00042305
                     57,                0.60674,                0.47944,                0.94077,                0.66896,                0.68544,                0.70515,                0.52768,                0.96458,                 1.0719,                 1.1864,             0.00041405,             0.00041405,             0.00041405
                     58,                0.61104,                0.48348,                0.93852,                0.64583,                0.68714,                0.68702,                0.51241,                0.95333,                 1.1107,                  1.155,             0.00040505,             0.00040505,             0.00040505
                     59,                0.59101,                0.46811,                0.93849,                0.66806,                0.71919,                0.72019,                 0.5449,                 0.9415,                 1.0451,                 1.1685,             0.00039605,             0.00039605,             0.00039605
                     60,                0.58471,                0.45345,                0.93084,                0.69078,                0.67181,                0.72079,                0.54585,                0.96403,                 1.0579,                 1.1712,             0.00038705,             0.00038705,             0.00038705
                     61,                0.58456,                0.45645,                0.93717,                0.67112,                0.67931,                0.70664,                0.53652,                0.93866,                 1.0784,                 1.1764,             0.00037805,             0.00037805,             0.00037805
                     62,                0.58725,                0.44701,                0.93562,                0.70244,                0.66361,                0.71733,                0.54215,                0.95261,                 1.0857,                 1.1718,             0.00036905,             0.00036905,             0.00036905
