                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     54,                0.63859,                0.63458,                 1.1815,                0.66214,                0.69148,                0.70274,                0.52302,                0.98956,                 1.1876,                 1.7037,             0.00044105,             0.00044105,             0.00044105
                     55,                0.61854,                0.58072,                 1.1617,                0.65179,                0.68932,                0.69709,                0.51132,                 1.0082,                 1.1624,                 1.7328,             0.00043205,             0.00043205,             0.00043205
                     56,                0.63456,                0.60813,                  1.161,                0.65063,                0.68936,                0.68779,                0.50858,                0.98631,                 1.2159,                 1.6959,             0.00042305,             0.00042305,             0.00042305
                     57,                0.61187,                0.57777,                 1.1483,                0.72854,                0.65819,                 0.7262,                0.54023,                 0.9677,                  1.148,                 1.6967,             0.00041405,             0.00041405,             0.00041405
                     58,                0.60746,                0.57951,                 1.1468,                0.68635,                0.68547,                0.70782,                0.52771,                0.99672,                 1.1444,                 1.6976,             0.00040505,             0.00040505,             0.00040505
                     59,                0.58854,                0.56234,                 1.1274,                0.70305,                0.64938,                0.69586,                0.51846,                0.99956,                 1.1633,                 1.7296,             0.00039605,             0.00039605,             0.00039605
                     60,                0.59891,                0.56988,                 1.1517,                0.69523,                 0.6699,                0.69576,                 0.5174,                0.97887,                 1.1546,                 1.6952,             0.00038705,             0.00038705,             0.00038705
                     61,                0.58722,                 0.5483,                 1.1314,                 0.6874,                0.69843,                0.71724,                0.52834,                 1.0091,                  1.142,                 1.7195,             0.00037805,             0.00037805,             0.00037805
                     62,                0.59545,                0.54616,                 1.1271,                0.69199,                0.66373,                0.71315,                0.52464,                0.99642,                 1.1503,                  1.721,             0.00036905,             0.00036905,             0.00036905
                     63,                0.57628,                0.53024,                 1.1154,                 0.6484,                0.71452,                0.71044,                0.51898,                0.99769,                 1.1453,                 1.7394,             0.00036005,             0.00036005,             0.00036005
                     64,                0.57193,                0.52711,                 1.1101,                0.67872,                0.69545,                 0.7013,                0.51807,                 1.0054,                  1.117,                 1.7553,             0.00035106,             0.00035106,             0.00035106
                     65,                0.54992,                0.50642,                 1.1019,                 0.6879,                0.67637,                0.69351,                0.51527,                0.99087,                 1.1613,                 1.7342,             0.00034206,             0.00034206,             0.00034206
                     66,                 0.5754,                0.51014,                 1.1134,                0.72294,                0.66349,                0.71054,                0.52929,                0.99508,                 1.1694,                 1.7229,             0.00033306,             0.00033306,             0.00033306
                     67,                0.56209,                 0.5304,                 1.1136,                0.68791,                0.65082,                0.67374,                0.48855,                 1.0074,                 1.2177,                 1.7528,             0.00032406,             0.00032406,             0.00032406
                     68,                0.53643,                0.48937,                  1.087,                0.72075,                0.66115,                0.71182,                0.53019,                 1.0072,                 1.1558,                 1.7453,             0.00031506,             0.00031506,             0.00031506
                     69,                0.55703,                0.49757,                 1.0978,                0.71532,                0.67134,                0.70713,                0.52477,                 1.0137,                 1.1595,                 1.7472,             0.00030606,             0.00030606,             0.00030606
                     70,                0.54469,                0.49666,                  1.098,                0.72435,                0.67396,                0.71834,                0.53189,                 1.0141,                 1.1495,                 1.7478,             0.00029706,             0.00029706,             0.00029706
                     71,                0.52973,                0.47634,                 1.0799,                0.71794,                0.68587,                0.70582,                0.52675,                0.98697,                 1.1468,                  1.729,             0.00028806,             0.00028806,             0.00028806
                     72,                0.53221,                 0.4712,                 1.0842,                0.73798,                0.65824,                0.72257,                0.53339,                0.99928,                 1.1443,                  1.739,             0.00027906,             0.00027906,             0.00027906
                     73,                0.51959,                0.44865,                 1.0687,                0.71255,                0.66703,                0.71108,                0.53182,                0.99172,                 1.1995,                 1.7466,             0.00027006,             0.00027006,             0.00027006
                     74,                0.53571,                0.47889,                 1.0794,                0.71009,                  0.683,                0.71001,                0.52743,                 1.0119,                 1.1634,                  1.761,             0.00026106,             0.00026106,             0.00026106
                     75,                0.51777,                0.45574,                  1.072,                0.68226,                0.69009,                0.69818,                0.52366,                0.98213,                 1.2031,                 1.7496,             0.00025207,             0.00025207,             0.00025207
                     76,                0.49941,                0.43959,                 1.0575,                0.73921,                0.65847,                0.70603,                0.52774,                0.98775,                  1.194,                 1.7622,             0.00024307,             0.00024307,             0.00024307
                     77,                0.51243,                0.44604,                 1.0612,                0.70721,                 0.6507,                0.69594,                0.52049,                 1.0036,                 1.2414,                 1.7507,             0.00023407,             0.00023407,             0.00023407
                     78,                0.50308,                0.43323,                 1.0574,                0.71462,                0.67145,                0.70027,                0.53224,                0.98203,                 1.1919,                 1.7377,             0.00022507,             0.00022507,             0.00022507
                     79,                0.48736,                0.42461,                 1.0447,                0.72936,                0.63267,                 0.6906,                0.51726,                0.98318,                  1.186,                 1.7438,             0.00021607,             0.00021607,             0.00021607
                     80,                 0.5044,                0.44825,                 1.0575,                0.69185,                0.67284,                 0.6835,                0.51919,                0.96879,                 1.2377,                 1.7188,             0.00020707,             0.00020707,             0.00020707
                     81,                 0.4804,                0.42189,                 1.0416,                 0.7148,                0.68257,                0.69896,                 0.5303,                0.96087,                 1.1954,                 1.7423,             0.00019807,             0.00019807,             0.00019807
                     82,                0.48696,                0.42432,                 1.0403,                0.72838,                0.67551,                0.71426,                0.53642,                0.97767,                 1.1607,                 1.7336,             0.00018907,             0.00018907,             0.00018907
                     83,                0.47505,                0.39901,                 1.0284,                0.69712,                0.69925,                0.71185,                 0.5373,                0.96663,                 1.1804,                 1.7442,             0.00018007,             0.00018007,             0.00018007
                     84,                0.47546,                0.41448,                 1.0405,                0.72735,                0.66496,                 0.7009,                0.53118,                0.98079,                 1.1988,                 1.7289,             0.00017107,             0.00017107,             0.00017107
                     85,                0.47346,                0.40534,                 1.0278,                0.72821,                0.66918,                0.70403,                0.53571,                0.96415,                 1.2025,                  1.733,             0.00016207,             0.00016207,             0.00016207
                     86,                0.47376,                0.41869,                 1.0363,                 0.7222,                0.68253,                0.70149,                0.53134,                0.95983,                 1.1743,                 1.7335,             0.00015308,             0.00015308,             0.00015308
                     87,                0.46886,                0.39767,                 1.0309,                0.73611,                0.66654,                0.70849,                0.53535,                0.96595,                 1.1798,                 1.7464,             0.00014408,             0.00014408,             0.00014408
                     88,                0.45816,                 0.3873,                 1.0186,                0.71829,                0.66837,                0.69598,                0.52866,                0.95403,                 1.2275,                 1.7275,             0.00013508,             0.00013508,             0.00013508
                     89,                0.45454,                0.37699,                 1.0174,                0.69343,                0.70013,                0.69502,                0.52838,                0.96305,                 1.2185,                 1.7502,             0.00012608,             0.00012608,             0.00012608
                     90,                0.45309,                0.38167,                 1.0116,                0.67747,                0.71461,                0.70528,                0.53469,                0.95973,                 1.2329,                  1.752,             0.00011708,             0.00011708,             0.00011708
                     91,                0.37202,                0.28449,                 0.9411,                0.73672,                0.66286,                0.70617,                0.53744,                0.94486,                 1.2316,                 1.7638,             0.00010808,             0.00010808,             0.00010808
                     92,                0.35919,                0.28165,                0.93643,                0.74897,                0.65772,                0.70092,                0.53696,                0.93598,                 1.2234,                 1.7497,             9.9081e-05,             9.9081e-05,             9.9081e-05
                     93,                0.34596,                0.26182,                 0.9217,                0.70759,                0.68199,                 0.7025,                0.53992,                0.94273,                 1.2443,                 1.7643,             9.0082e-05,             9.0082e-05,             9.0082e-05
                     94,                 0.3588,                0.28423,                0.93375,                0.73766,                0.66851,                0.70168,                0.53678,                0.93589,                 1.2252,                 1.7336,             8.1083e-05,             8.1083e-05,             8.1083e-05
                     95,                0.34344,                0.27439,                0.91778,                 0.7409,                0.66557,                 0.7086,                0.54399,                0.93563,                 1.2094,                 1.7387,             7.2084e-05,             7.2084e-05,             7.2084e-05
                     96,                0.32404,                 0.2464,                0.90645,                0.75888,                0.67223,                0.70915,                0.54391,                 0.9404,                 1.2162,                 1.7647,             6.3085e-05,             6.3085e-05,             6.3085e-05
                     97,                0.33821,                0.26077,                0.92442,                0.72825,                0.66682,                0.70196,                0.54136,                0.93156,                 1.2112,                 1.7418,             5.4086e-05,             5.4086e-05,             5.4086e-05
                     98,                0.33149,                0.24987,                0.91332,                0.74646,                0.65611,                0.70672,                0.54585,                 0.9315,                 1.2184,                 1.7415,             4.5086e-05,             4.5086e-05,             4.5086e-05
                     99,                0.32343,                0.24317,                0.90502,                0.75316,                0.66066,                0.70611,                0.54531,                0.93196,                 1.2257,                 1.7461,             3.6087e-05,             3.6087e-05,             3.6087e-05
                    100,                0.33664,                 0.2592,                0.91652,                0.75913,                0.66356,                0.71009,                0.54722,                 0.9316,                 1.2181,                 1.7461,             2.7088e-05,             2.7088e-05,             2.7088e-05
